0 	0 	0 	0 	
0,4 	0,396462 	0,395663 	0,000798 	
0,8 	0,772096 	0,772096 	0 	
1,2 	1,108047 	1,108316 	0,000269 	
1,6 	1,389181 	1,389181 	0 	
2 	1,605413 	1,605223 	0,00019 	
2,4 	1,752486 	1,752486 	0 	
2,8 	1,832097 	1,832355 	0,000259 	
3,2 	1,851401 	1,851401 	0 	
3,6 	1,821948 	1,821205 	0,000742 	
4 	1,758203 	1,758203 	0 	
5	0,00079848
0 	0 	0 	0 	
0,4 	0,396462 	0,396461 	0 	
0,8 	0,772096 	0,772097 	0,000001 	
1,2 	1,108047 	1,108049 	0,000001 	
1,6 	1,389181 	1,389178 	0,000003 	
2 	1,605413 	1,605413 	0 	
2,4 	1,752486 	1,75249 	0,000004 	
2,8 	1,832097 	1,832093 	0,000004 	
3,2 	1,851401 	1,851393 	0,000008 	
3,6 	1,821948 	1,821981 	0,000034 	
4 	1,758203 	1,758203 	0 	
6	0,000033734
0 	0 	0 	0 	
0,4 	0,396462 	0,396473 	0,000012 	
0,8 	0,772096 	0,772091 	0,000005 	
1,2 	1,108047 	1,108048 	0,000001 	
1,6 	1,389181 	1,389182 	0,000001 	
2 	1,605413 	1,605412 	0,000001 	
2,4 	1,752486 	1,752486 	0 	
2,8 	1,832097 	1,832097 	0,000001 	
3,2 	1,851401 	1,851398 	0,000003 	
3,6 	1,821948 	1,821955 	0,000008 	
4 	1,758203 	1,758203 	0 	
7	0,000011537
0 	0 	0 	0 	
0,4 	0,396462 	0,396462 	0,000001 	
0,8 	0,772096 	0,772095 	0 	
1,2 	1,108047 	1,108047 	0 	
1,6 	1,389181 	1,389181 	0 	
2 	1,605413 	1,605413 	0 	
2,4 	1,752486 	1,752485 	0 	
2,8 	1,832097 	1,832097 	0 	
3,2 	1,851401 	1,851402 	0,000001 	
3,6 	1,821948 	1,821947 	0 	
4 	1,758203 	1,758203 	0 	
8	0,000000774
0 	0 	0 	0 	
0,4 	0,396462 	0,396461 	0 	
0,8 	0,772096 	0,772096 	0 	
1,2 	1,108047 	1,108047 	0 	
1,6 	1,389181 	1,389181 	0 	
2 	1,605413 	1,605413 	0 	
2,4 	1,752486 	1,752485 	0 	
2,8 	1,832097 	1,832097 	0 	
3,2 	1,851401 	1,851401 	0 	
3,6 	1,821948 	1,821948 	0 	
4 	1,758203 	1,758203 	0 	
9	0,00000029
0 	0 	0 	0 	
0,4 	0,396462 	0,396462 	0 	
0,8 	0,772096 	0,772095 	0 	
1,2 	1,108047 	1,108047 	0 	
1,6 	1,389181 	1,389181 	0 	
2 	1,605413 	1,605413 	0 	
2,4 	1,752486 	1,752485 	0 	
2,8 	1,832097 	1,832097 	0 	
3,2 	1,851401 	1,851401 	0 	
3,6 	1,821948 	1,821947 	0 	
4 	1,758203 	1,758203 	0 	
11	0,000000423
0 	0 	0 	0 	
0,4 	0,396462 	0,396462 	0 	
0,8 	0,772096 	0,772095 	0 	
1,2 	1,108047 	1,108047 	0 	
1,6 	1,389181 	1,389181 	0 	
2 	1,605413 	1,605413 	0 	
2,4 	1,752486 	1,752485 	0 	
2,8 	1,832097 	1,832097 	0 	
3,2 	1,851401 	1,851401 	0 	
3,6 	1,821948 	1,821947 	0 	
4 	1,758203 	1,758203 	0 	
11	0,000000423
0 	0 	0 	0 	
0,4 	0,396462 	0,396461 	0 	
0,8 	0,772096 	0,772096 	0 	
1,2 	1,108047 	1,108047 	0 	
1,6 	1,389181 	1,389181 	0 	
2 	1,605413 	1,605413 	0 	
2,4 	1,752486 	1,752485 	0,000001 	
2,8 	1,832097 	1,832097 	0 	
3,2 	1,851401 	1,851401 	0 	
3,6 	1,821948 	1,821948 	0 	
4 	1,758203 	1,758203 	0 	
12	0,000000694
0 	0 	0 	0 	
0,4 	0,396462 	0,396463 	0,000001 	
0,8 	0,772096 	0,772096 	0 	
1,2 	1,108047 	1,108047 	0 	
1,6 	1,389181 	1,389181 	0 	
2 	1,605413 	1,605413 	0 	
2,4 	1,752486 	1,752485 	0 	
2,8 	1,832097 	1,832097 	0 	
3,2 	1,851401 	1,851401 	0 	
3,6 	1,821948 	1,821948 	0 	
4 	1,758203 	1,758203 	0 	
13	0,000001028
